Data,Scored,Name,ID,Team,Bet,GPG,Last 5 GPG,HGPG,PPG,OTPM,TGPG,OTGA,Home (1)
2024-02-16, ,Nick Bjugstad,8475760,Arizona,+370,0.19,0.00,0.19,4.00,16142,2.90,2.88,1
2024-02-16, ,Travis Boyd,8476329,Arizona,0,0.12,0.40,0.20,4.00,16142,2.90,2.88,1
2024-02-16, ,Michael Carcone,8479619,Arizona,0,0.33,0.00,0.28,1.00,16142,2.90,2.88,1
2024-02-16, ,Logan Cooley,8483431,Arizona,+500,0.13,0.40,0.13,2.00,16142,2.90,2.88,1
2024-02-16, ,Lawson Crouse,8478474,Arizona,+285,0.37,0.00,0.33,13.00,16142,2.90,2.88,1
2024-02-16, ,Dylan Guenther,8482699,Arizona,+370,0.27,0.20,0.21,6.00,16142,2.90,2.88,1
2024-02-16, ,Barrett Hayton,8480849,Arizona,+425,0.10,0.20,0.19,7.00,16142,2.90,2.88,1
2024-02-16, ,Clayton Keller,8479343,Arizona,+205,0.40,0.20,0.43,17.00,16142,2.90,2.88,1
2024-02-16, ,Alex Kerfoot,8477021,Arizona,+500,0.15,0.20,0.15,5.00,16142,2.90,2.88,1
2024-02-16, ,Matias Maccelli,8481711,Arizona,+400,0.15,0.20,0.14,2.00,16142,2.90,2.88,1
2024-02-16, ,Jack McBain,8480855,Arizona,+550,0.16,0.00,0.16,0.00,16142,2.90,2.88,1
2024-02-16, ,Liam O'Brien,8477070,Arizona,0,0.06,0.00,0.06,0.00,16142,2.90,2.88,1
2024-02-16, ,Adam Ruzicka,8480008,Arizona,+750,0.07,0.00,0.12,2.00,16142,2.90,2.88,1
2024-02-16, ,Nick Schmaltz,8477951,Arizona,+275,0.29,0.20,0.34,18.00,16142,2.90,2.88,1
2024-02-16, ,Jason Zucker,8475722,Arizona,+400,0.19,0.20,0.26,7.00,16142,2.90,2.88,1
2024-02-16, ,Josh Brown,8477384,Arizona,0,0.04,0.00,0.03,0.00,16142,2.90,2.88,1
2024-02-16, ,Travis Dermott,8478408,Arizona,+1500,0.06,0.20,0.05,0.00,16142,2.90,2.88,1
2024-02-16, ,Matt Dumba,8476856,Arizona,+1400,0.06,0.20,0.08,1.00,16142,2.90,2.88,1
2024-02-16, ,Sean Durzi,8480434,Arizona,+650,0.17,0.00,0.11,7.00,16142,2.90,2.88,1
2024-02-16, ,Michael Kesselring,8480891,Arizona,+1600,0.11,0.00,0.09,0.00,16142,2.90,2.88,1
2024-02-16, ,J.J. Moser,8482655,Arizona,+1100,0.06,0.00,0.08,4.00,16142,2.90,2.88,1
2024-02-16, ,Troy Stecher,8479442,Arizona,0,0.02,0.00,0.04,0.00,16142,2.90,2.88,1
2024-02-16, ,Juuso Valimaki,8479976,Arizona,+1200,0.05,0.20,0.05,1.00,16142,2.90,2.88,1
2024-02-16, ,Sebastian Aho,8478427,Carolina,+145,0.39,0.40,0.44,27.00,17125,3.31,3.13,0
2024-02-16, ,Michael Bunting,8478047,Carolina,+250,0.22,0.20,0.26,15.00,17125,3.31,3.13,0
2024-02-16, ,Jack Drury,8480835,Carolina,+400,0.15,0.00,0.11,2.00,17125,3.31,3.13,0
2024-02-16, ,Jesper Fast,8475855,Carolina,+500,0.12,0.40,0.15,2.00,17125,3.31,3.13,0
2024-02-16, ,Seth Jarvis,8482093,Carolina,+195,0.31,0.20,0.24,13.00,17125,3.31,3.13,0
2024-02-16, ,Jesperi Kotkaniemi,8480829,Carolina,+390,0.17,0.00,0.18,5.00,17125,3.31,3.13,0
2024-02-16, ,Brendan Lemieux,8477962,Carolina,0,0.09,0.00,0.10,0.00,17125,3.31,3.13,0
2024-02-16, ,Jordan Martinook,8476921,Carolina,0,0.15,0.20,0.14,0.00,17125,3.31,3.13,0
2024-02-16, ,Martin Necas,8480039,Carolina,+195,0.34,0.80,0.26,16.00,17125,3.31,3.13,0
2024-02-16, ,Stefan Noesen,8476474,Carolina,+450,0.22,0.00,0.19,13.00,17125,3.31,3.13,0
2024-02-16, ,Jordan Staal,8473533,Carolina,+380,0.13,0.20,0.18,1.00,17125,3.31,3.13,0
2024-02-16, ,Andrei Svechnikov,8480830,Carolina,+170,0.35,0.20,0.36,20.00,17125,3.31,3.13,0
2024-02-16, ,Teuvo Teravainen,8476882,Carolina,+255,0.31,0.00,0.25,22.00,17125,3.31,3.13,0
2024-02-16, ,Brent Burns,8470613,Carolina,+380,0.15,0.00,0.16,11.00,17125,3.31,3.13,0
2024-02-16, ,Jalen Chatfield,8478970,Carolina,+1200,0.09,0.00,0.07,0.00,17125,3.31,3.13,0
2024-02-16, ,Tony DeAngelo,8477950,Carolina,0,0.09,0.20,0.14,9.00,17125,3.31,3.13,0
2024-02-16, ,Dmitry Orlov,8475200,Carolina,+1000,0.06,0.20,0.11,3.00,17125,3.31,3.13,0
2024-02-16, ,Brett Pesce,8477488,Carolina,+800,0.07,0.00,0.08,2.00,17125,3.31,3.13,0
2024-02-16, ,Brady Skjei,8476869,Carolina,+550,0.13,0.00,0.15,5.00,17125,3.31,3.13,0
2024-02-16, ,Jaccob Slavin,8476958,Carolina,+700,0.08,0.00,0.08,1.00,17125,3.31,3.13,0
